#separator:tab
#html:false
#notetype:Basic (and reversed card)
#deck:Japones::Fase 0 - Kana
#tags column:3
は	ha	hiragana hira-ha confundivel
ひ	hi	hiragana hira-ha
ふ	fu	hiragana hira-ha
へ	he	hiragana hira-ha
ほ	ho	hiragana hira-ha confundivel
ま	ma	hiragana hira-ma confundivel
み	mi	hiragana hira-ma
む	mu	hiragana hira-ma
め	me	hiragana hira-ma
も	mo	hiragana hira-ma
や	ya	hiragana hira-ya
ゆ	yu	hiragana hira-ya
よ	yo	hiragana hira-ya
ら	ra	hiragana hira-ra
り	ri	hiragana hira-ra
る	ru	hiragana hira-ra
れ	re	hiragana hira-ra confundivel
ろ	ro	hiragana hira-ra
わ	wa	hiragana hira-wa confundivel
を	wo	hiragana hira-wa
ん	n	hiragana hira-wa
が	ga	hiragana dakuten-ga
ぎ	gi	hiragana dakuten-ga
ぐ	gu	hiragana dakuten-ga
げ	ge	hiragana dakuten-ga
ご	go	hiragana dakuten-ga
ざ	za	hiragana dakuten-za
じ	ji	hiragana dakuten-za
ず	zu	hiragana dakuten-za
ぜ	ze	hiragana dakuten-za
ぞ	zo	hiragana dakuten-za
だ	da	hiragana dakuten-da
ぢ	ji	hiragana dakuten-da
づ	zu	hiragana dakuten-da
で	de	hiragana dakuten-da
ど	do	hiragana dakuten-da
ば	ba	hiragana dakuten-ba
び	bi	hiragana dakuten-ba
ぶ	bu	hiragana dakuten-ba
べ	be	hiragana dakuten-ba
ぼ	bo	hiragana dakuten-ba
ぱ	pa	hiragana dakuten-pa
ぴ	pi	hiragana dakuten-pa
ぷ	pu	hiragana dakuten-pa
ぺ	pe	hiragana dakuten-pa
ぽ	po	hiragana dakuten-pa
きゃ	kya	hiragana yoon
きゅ	kyu	hiragana yoon
きょ	kyo	hiragana yoon
しゃ	sha	hiragana yoon
しゅ	shu	hiragana yoon
しょ	sho	hiragana yoon
ちゃ	cha	hiragana yoon
ちゅ	chu	hiragana yoon
ちょ	cho	hiragana yoon
にゃ	nya	hiragana yoon
にゅ	nyu	hiragana yoon
にょ	nyo	hiragana yoon
ひゃ	hya	hiragana yoon
ひゅ	hyu	hiragana yoon
ひょ	hyo	hiragana yoon
みゃ	mya	hiragana yoon
みゅ	myu	hiragana yoon
みょ	myo	hiragana yoon
りゃ	rya	hiragana yoon
りゅ	ryu	hiragana yoon
りょ	ryo	hiragana yoon
ぎゃ	gya	hiragana yoon
ぎゅ	gyu	hiragana yoon
ぎょ	gyo	hiragana yoon
じゃ	ja	hiragana yoon
じゅ	ju	hiragana yoon
じょ	jo	hiragana yoon
びゃ	bya	hiragana yoon
びゅ	byu	hiragana yoon
びょ	byo	hiragana yoon
ぴゃ	pya	hiragana yoon
ぴゅ	pyu	hiragana yoon
ぴょ	pyo	hiragana yoon
