#separator:tab
#html:false
#notetype:Basic (and reversed card)
#deck:Japones::Fase 0 - Kana
#tags column:3
ハ	ha	katakana kata-ha
ヒ	hi	katakana kata-ha
フ	fu	katakana kata-ha
ヘ	he	katakana kata-ha
ホ	ho	katakana kata-ha
マ	ma	katakana kata-ma
ミ	mi	katakana kata-ma
ム	mu	katakana kata-ma
メ	me	katakana kata-ma
モ	mo	katakana kata-ma
ヤ	ya	katakana kata-ya
ユ	yu	katakana kata-ya
ヨ	yo	katakana kata-ya
ラ	ra	katakana kata-ra
リ	ri	katakana kata-ra
ル	ru	katakana kata-ra confundivel
レ	re	katakana kata-ra confundivel
ロ	ro	katakana kata-ra confundivel
ワ	wa	katakana kata-wa confundivel
ヲ	wo	katakana kata-wa
ン	n	katakana kata-wa confundivel
